"","LL_GSPover100_by_GST","LL_GSPover100_plus_GST","LL_GST","LL_GSPover100","LW_GSPover100_by_GST","LW_GSPover100_plus_GST","LW_GST","LW_GSPover100","LA_GSPover100_by_GST","LA_GSPover100_plus_GST","LA_GST","LA_GSPover100"
"OLS.se.GST",0.0645055005544262,0.0639895462922203,0.0624035280055653,NA,0.0708861956692124,0.0710266034068744,0.0715731232341408,NA,0.113451610172205,0.113135703541665,0.113151033144428,NA
"OLS.t.GST",2.09847418063066,2.26329988741601,3.98464741198915,NA,9.52226486914319,10.265121679984,13.4560019117691,NA,7.14278322643683,7.72456644585829,10.7090859514253,NA
"OLS.t.P.GST",0.0360088738266823,0.0237413771569062,7.0401214067636e-05,NA,5.51893023764555e-21,4.91503463767331e-24,2.561769234492e-39,NA,1.34508810101511e-12,1.89302691642667e-14,5.93813268507642e-26,NA
"OLS.coef.GSPover100:GST",0.258723935197602,NA,NA,NA,1.47889482462523,NA,NA,NA,1.73761875982284,NA,NA,NA
"OLS.se.GSPover100:GST",0.223917708570658,NA,NA,NA,0.246066992227258,NA,NA,NA,0.393824160188902,NA,NA,NA
"OLS.t.GSPover100:GST",1.15544204542429,NA,NA,NA,6.01013086411599,NA,NA,NA,4.4121690223103,NA,NA,NA
"OLS.t.P.GSPover100:GST",0.248070027672824,NA,NA,NA,2.25832384231045e-09,NA,NA,NA,1.08693633909447e-05,NA,NA,NA
"OLS.F.(Intercept)",26093.8815257636,26088.7995744267,25537.794478276,26026.4551537649,829.818026103992,813.212569164015,745.548248162895,766.714005209148,5453.26526739941,5395.33680502727,5021.46446067827,5217.47303767929
"OLS.F.P.(Intercept)",0,0,0,0,3.15346073591604e-149,8.45616792273147e-147,1.09531407858692e-136,6.95275341482348e-140,0,0,0,0
"OLS.F.GSPover100",49.2394571335302,49.2298674324059,NA,49.1122227874089,254.409389539738,249.318412927718,NA,235.062671430064,194.76007672277,192.691196662327,NA,186.33889959327
"OLS.F.P.GSPover100",3.24720852967046e-12,3.26200737128036e-12,NA,3.45715075585084e-12,1.61373897718013e-53,1.49253765501458e-52,NA,7.88549987757318e-50,5.19458946127855e-42,1.31876378179732e-41,NA,2.33351815154411e-40
"OLS.F.GST",5.12352421968811,5.12252638037731,15.8774149978718,NA,107.524389572558,105.372723104878,181.063987449535,NA,60.3095780100295,59.6689267764797,114.684521915016,NA
"OLS.F.P.GST",0.0237278443460715,0.0237413771569062,7.0401214067636e-05,NA,1.76959159277148e-24,4.91503463767331e-24,2.561769234492e-39,NA,1.38258562326347e-14,1.89302691642667e-14,5.93813268507642e-26,NA
"OLS.F.GSPover100:GST",1.33504632033427,NA,NA,NA,36.1216730037996,NA,NA,NA,19.4672354814346,NA,NA,NA
"OLS.F.P.GSPover100:GST",0.248070027672824,NA,NA,NA,2.25832384231045e-09,NA,NA,NA,1.08693633909447e-05,NA,NA,NA
"OLS.resid.norm.P",4.43089276514795e-12,7.75464939331096e-12,1.12248566736589e-10,7.69694030815921e-12,0.73996569469344,0.935413921249596,0.00894726534274064,0.0380504243983103,4.13642963231386e-06,3.6032395532114e-06,0.000708980599385034,2.92227095395052e-05
"AIC.PGLS",565.541405298892,571.480520589191,595.78647294436,571.078756623524,670.73285280574,684.303682797078,702.94290604702,692.909311547034,2460.39912420893,2474.10827543999,2503.81833383657,2479.14793657242
"lambda",0.852035183745579,0.849599293109976,0.850711777480508,0.849303008596337,0.832448912634066,0.832552766743625,0.836825031283366,0.83427770077467,0.84664482725554,0.844478922854064,0.848223661605502,0.844953259132432
"lambda.P",0,0,0,0,0,0,0,0,0,0,0,0
"PGLS.coef.(Intercept)",1.31951627371089,1.33579094017902,1.35810549494222,1.34220220997917,0.0439704370375914,0.0672826269970614,0.0885623432110908,0.0847000980415139,1.36676932211279,1.40590520434934,1.44945513009779,1.42943582973115
"PGLS.se.(Intercept)",0.217126731940153,0.216258934964808,0.218371738767398,0.216088417612566,0.214190639185324,0.215065344240363,0.218288428102822,0.216417908024714,0.371631105292324,0.371247136814649,0.377714763365776,0.372194690306199
"PGLS.t.(Intercept)",6.07717097715353,6.17681271942076,6.2192365303682,6.21135655861787,0.205286455116962,0.312847368481016,0.405712496905126,0.391372871194381,3.67775813878037,3.78697925164407,3.83743308623112,3.84055943558778
"PGLS.t.P.(Intercept)",1.50314763338593e-09,8.14511137559988e-10,6.25706548018098e-10,6.57184134966142e-10,0.837372631642743,0.754434552634223,0.68500429210286,0.695570091294501,0.000242530740262188,0.000157730277153174,0.000128818645769097,0.000127202807792732
"PGLS.coef.GSPover100",0.172066070389503,0.168187317201193,NA,0.171472611851629,0.159311529700576,0.154104523953958,NA,0.162507765217749,0.330388880471937,0.321274297679863,NA,0.333097932821636
"PGLS.se.GSPover100",0.0326524016210357,0.0326927309211695,NA,0.0325959521029283,0.033687767465052,0.0338045931485896,NA,0.0337944484647216,0.0566022469086269,0.0568005944310352,NA,0.0567216864112621
"PGLS.t.GSPover100",5.26962985407642,5.14448663241794,NA,5.26054926422059,4.72906166506424,4.55868595360945,NA,4.8087118624644,5.8370276537835,5.65617844140592,NA,5.87249699182955
"PGLS.t.P.GSPover100",1.53951139524943e-07,2.98936334990777e-07,NA,1.61602843994571e-07,2.43972552376004e-06,5.5106195214032e-06,NA,1.65143139949572e-06,6.33867903591314e-09,1.80919767440413e-08,NA,5.14090706386795e-09
"PGLS.coef.GST",0.0952155231295795,0.105398482418915,0.139548350932683,NA,0.26535297793843,0.281240699616601,0.31125180714197,NA,0.358756552515973,0.384623822691391,0.449062336260843,NA
"PGLS.se.GST",0.0833147240791969,0.0834161128925406,0.083758952357514,NA,0.0859974515436048,0.0862668017922105,0.0864803164881311,NA,0.144443579584528,0.144934561049411,0.14573980848136,NA
"PGLS.t.GST",1.14284148668692,1.26352665886856,1.66607087367854,NA,3.08559117945353,3.26012665096848,3.59910578246655,NA,2.48371408094348,2.65377574476708,3.08126064484488,NA
"PGLS.t.P.GST",0.253263552510916,0.206571202801259,0.0958812801860471,NA,0.00206387322955668,0.00113538483237999,0.000328352224422383,NA,0.0130966830822826,0.00803298823534384,0.00209392222373592,NA
"PGLS.coef.GSPover100:GST",0.562022419167046,NA,NA,NA,0.814121267877173,NA,NA,NA,1.37197253374389,NA,NA,NA
